"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
121,96.2497130836113,113.677099514637,"8035.240429192700_sel60_646.2796052.wav",646.2796052,-176.6,40,1000
119,95.4198811102197,113.564490383294,"8035.240429192700_sel61_653.5010144.wav",653.5010144,-176.6,40,1000
162,92.7443399780307,113.091748337917,"8035.240429192700_sel62_667.5382634.wav",667.5382634,-176.6,40,1000
119,94.9336049949052,113.211497563138,"8035.240429192700_sel63_683.4545391.wav",683.4545391,-176.6,40,1000
121,93.3040799028876,113.383393381678,"8035.240429192700_sel64_706.7247538.wav",706.7247538,-176.6,40,1000
53,98.1886505772798,115.72460151684,"8035.240429192700_sel65_740.7875012.wav",740.7875012,-176.6,40,1000
54,103.323267268974,117.144965569322,"8035.240429192700_sel66_762.5231124.wav",762.5231124,-176.6,40,1000
121,94.2772446839593,112.598942297179,"8035.240429192700_sel67_807.9773926.wav",807.9773926,-176.6,40,1000
162,94.2606406868986,114.309425354052,"8035.240429192700_sel68_848.0872516.wav",848.0872516,-176.6,40,1000
95,89.6991468943519,111.967566626962,"8035.240429192700_sel69_864.0477358.wav",864.0477358,-176.6,40,1000
119,94.0226527725959,112.370066179385,"8035.240429192700_sel70_928.1249236.wav",928.1249236,-176.6,40,1000
159,91.3962582196508,111.746007877612,"8035.240429192700_sel71_973.6492878.wav",973.6492878,-176.6,40,1000
159,91.477527261706,111.307857852845,"8035.240429192700_sel72_987.7396906.wav",987.7396906,-176.6,40,1000
162,90.2328775787406,112.914217128123,"8035.240429192700_sel73_940.7163176.wav",940.7163176,-176.6,40,1000
119,97.0787979639039,113.963066576015,"8035.240429192700_sel74_837.9611967.wav",837.9611967,-176.6,40,1000
53,90.8265639099069,112.712729727999,"8035.240429192700_sel75_859.9677286.wav",859.9677286,-176.6,40,1000
119,92.2859375824116,111.958977411817,"8035.240429192700_sel76_900.5128602.wav",900.5128602,-176.6,40,1000
162,92.1408405796068,113.155207868383,"8035.240429192700_sel77_899.322194.wav",899.322194,-176.6,40,1000
270,92.8338948126876,112.435615714865,"8035.240429192700_sel78_868.3619517.wav",868.3619517,-176.6,40,1000
119,93.3520885593308,112.871007604964,"8035.240429192700_sel79_827.5139648.wav",827.5139648,-176.6,40,1000
119,96.3094544960581,112.539536443103,"8035.240429192700_sel80_882.2852303.wav",882.2852303,-176.6,40,1000
161,92.6503385755745,111.769919936236,"8035.240429192700_sel81_957.7557351.wav",957.7557351,-176.6,40,1000
161,89.4825946502503,110.997610445111,"8035.240429192700_sel82_1036.665029.wav",1036.665029,-176.6,40,1000
223,90.1112070281262,111.329007091847,"8035.240429192700_sel83_1045.071098.wav",1045.071098,-176.6,40,1000
163,93.6958131741785,112.231329155718,"8035.240429192700_sel84_864.4164314.wav",864.4164314,-176.6,40,1000
162,94.1005671093506,112.960570202731,"8035.240429192700_sel85_825.7827627.wav",825.7827627,-176.6,40,1000
54,97.8904866548013,114.701452099615,"8035.240429192700_sel86_780.3928251.wav",780.3928251,-176.6,40,1000
54,93.9335854478463,117.208176083241,"8035.240429192700_sel87_744.935538.wav",744.935538,-176.6,40,1000
54,102.169044838127,117.496641054501,"8035.240429192700_sel88_732.0350034.wav",732.0350034,-176.6,40,1000
119,95.7999574120685,115.362080488892,"8035.240429192700_sel89_682.3479999.wav",682.3479999,-176.6,40,1000
119,100.057872947528,116.097953626203,"8035.240429192700_sel90_541.1091817.wav",541.1091817,-176.6,40,1000
120,97.4414845524715,116.093776901532,"8035.240429192700_sel91_524.9199732.wav",524.9199732,-176.6,40,1000
53,99.2527382832311,117.036447835182,"8035.240429192700_sel92_433.7802557.wav",433.7802557,-176.6,40,1000
119,104.947054455647,119.29307101623,"8035.240429192700_sel93_272.943461.wav",272.943461,-176.6,40,1000
119,104.705327799684,119.43242657425,"8035.240429192700_sel94_257.2819872.wav",257.2819872,-176.6,40,1000
163,103.494394746768,120.376252033622,"8035.240429192700_sel95_218.5589566.wav",218.5589566,-176.6,40,1000
117,103.084399293231,121.26334292444,"8035.240429192700_sel96_113.4870464.wav",113.4870464,-176.6,40,1000
117,105.555143542275,121.810935549959,"8035.240429192700_sel97_67.14797599.wav",67.14797599,-176.6,40,1000
117,106.882735046798,122.445637624736,"8035.240429192700_sel98_46.45770766.wav",46.45770766,-176.6,40,1000
117,107.650193647241,122.191155671315,"8035.240429192700_sel99_115.0749628.wav",115.0749628,-176.6,40,1000
