"","Begin_Date","Begin_Hour","Maneuver","Transit"
"1555",2025-01-30,18,0,0
"1556",2025-01-30,19,0,0
"1557",2025-01-30,20,0,0
"1558",2025-01-30,21,0,0
"1559",2025-01-30,22,0,0
"1560",2025-01-30,23,0,0
"1561",2025-01-31,0,0,0
"1562",2025-01-31,1,0,0
"1563",2025-01-31,2,0,0
"1564",2025-01-31,3,0,0
"1565",2025-01-31,4,0,0
"1566",2025-01-31,5,0,0
"1567",2025-01-31,6,0,0
"1568",2025-01-31,7,0,0
"1569",2025-01-31,8,0,0
"1570",2025-01-31,9,0,0
"1571",2025-01-31,10,0,0
"1572",2025-01-31,11,0,0
"1573",2025-01-31,12,0,0
"1574",2025-01-31,13,0,0
"1575",2025-01-31,14,0,0
"1576",2025-01-31,15,0,0
"1577",2025-01-31,16,0,0
"1578",2025-01-31,17,0,0
"1579",2025-01-31,18,0,0
"1580",2025-01-31,19,0,0
"1581",2025-01-31,20,0,0
"1582",2025-01-31,21,0,0
"1583",2025-01-31,22,0,0
"1584",2025-01-31,23,0,0
"1585",2025-02-01,0,0,0
"1586",2025-02-01,1,0,0
"1587",2025-02-01,2,0,0
"1588",2025-02-01,3,0,0
"1589",2025-02-01,4,0,0
"1590",2025-02-01,5,0,0
"1591",2025-02-01,6,0,0
"1592",2025-02-01,7,0,0
"1593",2025-02-01,8,0,0
"1594",2025-02-01,9,0,0
"1595",2025-02-01,10,0,0
"1596",2025-02-01,11,0,0
"1597",2025-02-01,12,0,0
"1598",2025-02-01,13,0,0
"1599",2025-02-01,14,0,0
"1600",2025-02-01,15,0,0
"1601",2025-02-01,16,0,0
"1602",2025-02-01,17,0,0
"1603",2025-02-01,18,0,0
"1604",2025-02-01,19,0,0
"1605",2025-02-01,20,0,0
"1606",2025-02-01,21,0,0
"1607",2025-02-01,22,0,0
"1608",2025-02-01,23,0,0
"1609",2025-02-02,0,0,0
"1610",2025-02-02,1,0,0
"1611",2025-02-02,2,0,0
"1612",2025-02-02,3,0,0
"1613",2025-02-02,4,0,0
"1614",2025-02-02,5,0,0
"1615",2025-02-02,6,0,0
"1616",2025-02-02,7,0,0
"1617",2025-02-02,8,0,0
"1618",2025-02-02,9,0,0
"1619",2025-02-02,10,0,0
"1620",2025-02-02,11,0,0
"1621",2025-02-02,12,0,0
"1622",2025-02-02,13,0,0
"1623",2025-02-02,14,0,0
"1624",2025-02-02,15,0,0
"1625",2025-02-02,16,0,0
"1626",2025-02-02,17,0,0
"1627",2025-02-02,18,0,0
"1628",2025-02-02,19,0,0
"1629",2025-02-02,20,0,0
"1630",2025-02-02,21,0,0
"1631",2025-02-02,22,0,0
"1632",2025-02-02,23,0,0
"1633",2025-02-03,0,0,0
"1634",2025-02-03,1,0,0
"1635",2025-02-03,2,0,0
"1636",2025-02-03,3,0,0
"1637",2025-02-03,4,0,0
"1638",2025-02-03,5,0,0
"1639",2025-02-03,6,0,0
"1640",2025-02-03,7,0,0
"1641",2025-02-03,8,0,0
"1642",2025-02-03,9,0,0
"1643",2025-02-03,10,0,0
"1644",2025-02-03,11,0,0
"1645",2025-02-03,12,0,0
"1646",2025-02-03,13,0,0
"1647",2025-02-03,14,0,0
"1648",2025-02-03,15,0,0
"1649",2025-02-03,16,0,0
"1650",2025-02-03,17,0,0
"1651",2025-02-03,18,0,0
"1652",2025-02-03,19,0,0
"1653",2025-02-03,20,0,0
"1654",2025-02-03,21,0,0
"1655",2025-02-03,22,0,0
"1656",2025-02-03,23,0,0
"1657",2025-02-04,0,0,0
"1658",2025-02-04,1,0,0
"1659",2025-02-04,2,0,0
"1660",2025-02-04,3,0,0
"1661",2025-02-04,4,0,0
"1662",2025-02-04,5,0,0
"1663",2025-02-04,6,0,0
"1664",2025-02-04,7,0,0
"1665",2025-02-04,8,0,0
"1666",2025-02-04,9,0,0
"1667",2025-02-04,10,0,0
"1668",2025-02-04,11,0,0
"1669",2025-02-04,12,0,0
"1670",2025-02-04,13,0,0
"1671",2025-02-04,14,0,0
"1672",2025-02-04,15,0,0
"1673",2025-02-04,16,0,0
"1674",2025-02-04,17,0,0
"1675",2025-02-04,18,0,0
"1676",2025-02-04,19,0,0
"1677",2025-02-04,20,0,0
"1678",2025-02-04,21,0,0
"1679",2025-02-04,22,0,0
"1680",2025-02-04,23,0,0
"1681",2025-02-05,0,0,0
"1682",2025-02-05,1,0,0
"1683",2025-02-05,2,0,0
"1684",2025-02-05,3,0,0
"1685",2025-02-05,4,0,0
"1686",2025-02-05,5,0,0
"1687",2025-02-05,6,0,0
"1688",2025-02-05,7,0,0
"1689",2025-02-05,8,0,0
"1690",2025-02-05,9,0,0
